"NAsySeekAccepted","HomeBorn","IdeoScale","Empathy","Age","Female","EISCED","IncomeDecile","Country"
3,1,4,5,40,0,7,7,"Germany"
10,1,3,5,49,0,6,10,"Germany"
5,1,0,9,62,0,6,9,"Germany"
4,1,3,11,68,1,3,3,"Germany"
2,1,4,-3,54,0,1,7,"United Kingdom"
9,1,3,5,23,1,6,3,"Germany"
0,1,10,-8,36,0,5,10,"Germany"
3,1,5,2,50,1,3,7,"Germany"
10,1,3,8,19,0,2,6,"Germany"
0,1,0,5,23,1,3,2,"United Kingdom"
5,1,3,4,58,0,7,9,"Germany"
3,1,8,-1,40,0,5,6,"Germany"
10,1,3,5,47,0,5,8,"Spain"
5,1,6,0,33,0,6,6,"Germany"
6,1,4,6,48,0,3,5,"Germany"
1,0,5,3,57,1,5,3,"Germany"
6,1,2,3,61,1,3,6,"Germany"
0,1,8,-6,28,0,6,6,"Germany"
4,1,8,0,52,0,2,7,"United Kingdom"
3,1,5,4,18,1,5,5,"Germany"
10,1,1,10,55,0,5,8,"Germany"
4,1,6,4,30,0,6,8,"Germany"
10,1,2,9,65,1,5,4,"Germany"
5,1,6,3,22,0,5,3,"Germany"
1,1,6,7,40,0,3,4,"Germany"
10,1,2,2,45,0,6,10,"United Kingdom"
6,1,5,6,48,1,3,2,"Germany"
6,1,6,5,41,1,3,7,"Germany"
8,1,6,5,63,1,3,3,"Germany"
2,1,5,3,34,1,5,4,"Germany"
3,1,5,-1,19,1,2,1,"Germany"
10,1,0,0,29,0,5,3,"Germany"
5,1,5,10,51,0,2,5,"Germany"
5,1,7,1,43,0,4,6,"United Kingdom"
1,1,3,2,35,0,6,4,"Germany"
6,1,2,6,55,0,5,9,"Germany"
5,1,5,0,43,0,3,5,"Germany"
10,1,4,6,45,0,5,3,"Germany"
0,1,5,2,47,0,3,9,"Germany"
7,1,5,2,55,1,3,5,"Germany"
7,1,5,6,44,1,3,7,"Germany"
6,1,3,4,40,0,6,5,"Germany"
10,1,3,4,63,0,7,3,"Germany"
0,1,3,-1,35,0,6,4,"Germany"
4,1,5,3,49,0,2,3,"Germany"
4,1,5,4,21,0,3,6,"Germany"
7,1,5,3,24,1,6,9,"Germany"
0,1,5,-1,51,0,5,8,"Germany"
4,1,6,4,30,0,5,3,"Germany"
3,1,6,3,50,0,3,4,"Germany"
7,1,2,2,57,1,6,3,"Germany"
3,1,5,-3,41,0,3,1,"Germany"
